trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,4,-115.33414368356857,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-50.92320074803515,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-195.5353578615427,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-132.26584876753867,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-49.041118367321,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-49.96981385597603,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-39.42254891072094,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-42.721081906871966,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-26.268285014334953,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-17.855066696942824,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,5,6.282876445929921,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,-3.362018471693142,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-65.18243533357129,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-38.07806115686407,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,11.924395156267506,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,8.763688921920117,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,17.359458832157085,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-32.11023018419927,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,5.807488327305938,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 3.191891195797325e-16}",25,0,2.2436821650291687,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,18.526599294031254,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,28.737503428555673,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,10,24.245110152861997,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,2,19.86343411396007,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,13.166482204380761,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,2,10.48004825834426,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,11.524254019462553,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,18.359877336776105,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,12,19.63002845088295,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,21.442443127412506,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
